name,lat,lng,hour,day,available_spots,total_capacity
Select CITYWALK,28.528,77.218,5,0,225,350
UB City Mall,12.971,77.595,2,5,18,200
UB City Mall,12.971,77.595,19,1,137,200
Gateway of India Parking,18.922,72.834,18,2,40,80
UB City Mall,12.971,77.595,4,6,38,200
Gateway of India Parking,18.922,72.834,8,2,39,80
City Centre Mall,26.152,91.776,16,0,74,120
India Gate Parking,28.612,77.229,4,2,68,100
Guwahati Railway Station,26.181,91.75,10,6,237,300
City Centre Mall,26.152,91.776,3,6,10,120
Connaught Place,28.631,77.219,15,5,147,200
Chhatrapati Shivaji Terminus,18.94,72.835,5,2,111,150
Connaught Place,28.631,77.219,14,2,123,200
Connaught Place,28.631,77.219,8,2,99,200
Gateway of India Parking,18.922,72.834,21,5,32,80
M Chinnaswamy Stadium,12.978,77.599,8,6,263,600
Gateway of India Parking,18.922,72.834,17,5,58,80
Phoenix Marketcity,19.088,72.882,20,6,273,400
M Chinnaswamy Stadium,12.978,77.599,7,2,249,600
Phoenix Marketcity,19.088,72.882,0,4,228,400
UB City Mall,12.971,77.595,19,2,145,200
Indira Gandhi Athletic Stadium,26.111,91.761,22,0,225,500
UB City Mall,12.971,77.595,13,1,127,200
Gateway of India Parking,18.922,72.834,14,3,33,80
City Centre Mall,26.152,91.776,12,0,66,120
Phoenix Marketcity,19.088,72.882,6,2,170,400
Chhatrapati Shivaji Terminus,18.94,72.835,4,6,101,150
India Gate Parking,28.612,77.229,19,6,76,100
Phoenix Marketcity,19.088,72.882,11,4,166,400
Select CITYWALK,28.528,77.218,17,3,193,350
Select CITYWALK,28.528,77.218,12,0,184,350
Chhatrapati Shivaji Terminus,18.94,72.835,21,5,101,150
Indira Gandhi Athletic Stadium,26.111,91.761,2,0,218,500
Phoenix Marketcity,19.088,72.882,17,5,218,400
Phoenix Marketcity,19.088,72.882,3,2,205,400
India Gate Parking,28.612,77.229,0,0,44,100
Guwahati Railway Station,26.181,91.75,14,4,235,300
Indira Gandhi Athletic Stadium,26.111,91.761,4,5,276,500
UB City Mall,12.971,77.595,9,2,121,200
Phoenix Marketcity,19.088,72.882,20,5,167,400
UB City Mall,12.971,77.595,7,5,35,200
Gateway of India Parking,18.922,72.834,6,0,43,80
Phoenix Marketcity,19.088,72.882,22,5,255,400
India Gate Parking,28.612,77.229,4,6,61,100
Indira Gandhi Athletic Stadium,26.111,91.761,22,1,352,500
City Centre Mall,26.152,91.776,23,1,75,120
Indira Gandhi Athletic Stadium,26.111,91.761,6,1,371,500
India Gate Parking,28.612,77.229,9,0,42,100
Gateway of India Parking,18.922,72.834,16,2,51,80
M Chinnaswamy Stadium,12.978,77.599,9,6,407,600
Guwahati Railway Station,26.181,91.75,23,1,215,300
Guwahati Railway Station,26.181,91.75,16,2,186,300
City Centre Mall,26.152,91.776,10,3,74,120
Chhatrapati Shivaji Terminus,18.94,72.835,0,1,111,150
Connaught Place,28.631,77.219,0,0,124,200
Indira Gandhi Athletic Stadium,26.111,91.761,11,6,228,500
UB City Mall,12.971,77.595,18,1,145,200
Chhatrapati Shivaji Terminus,18.94,72.835,7,2,112,150
India Gate Parking,28.612,77.229,22,6,55,100
City Centre Mall,26.152,91.776,6,2,72,120
UB City Mall,12.971,77.595,22,3,133,200
India Gate Parking,28.612,77.229,12,5,40,100
Select CITYWALK,28.528,77.218,8,5,270,350
India Gate Parking,28.612,77.229,18,0,41,100
India Gate Parking,28.612,77.229,7,6,58,100
City Centre Mall,26.152,91.776,12,4,86,120
City Centre Mall,26.152,91.776,4,3,65,120
India Gate Parking,28.612,77.229,16,1,64,100
India Gate Parking,28.612,77.229,21,0,76,100
Guwahati Railway Station,26.181,91.75,3,6,128,300
Guwahati Railway Station,26.181,91.75,3,4,222,300
UB City Mall,12.971,77.595,16,3,88,200
Indira Gandhi Athletic Stadium,26.111,91.761,9,3,370,500
Chhatrapati Shivaji Terminus,18.94,72.835,11,5,102,150
Indira Gandhi Athletic Stadium,26.111,91.761,0,2,213,500
Indira Gandhi Athletic Stadium,26.111,91.761,19,6,324,500
Gateway of India Parking,18.922,72.834,23,5,45,80
Phoenix Marketcity,19.088,72.882,16,1,235,400
Phoenix Marketcity,19.088,72.882,20,1,318,400
UB City Mall,12.971,77.595,8,3,145,200
India Gate Parking,28.612,77.229,4,6,40,100
Select CITYWALK,28.528,77.218,6,5,182,350
Guwahati Railway Station,26.181,91.75,10,3,197,300
Phoenix Marketcity,19.088,72.882,18,3,270,400
Select CITYWALK,28.528,77.218,11,2,190,350
City Centre Mall,26.152,91.776,1,6,14,120
M Chinnaswamy Stadium,12.978,77.599,17,6,367,600
Select CITYWALK,28.528,77.218,20,6,149,350
Gateway of India Parking,18.922,72.834,10,5,32,80
Select CITYWALK,28.528,77.218,15,0,206,350
Phoenix Marketcity,19.088,72.882,12,3,172,400
Connaught Place,28.631,77.219,1,2,136,200
Indira Gandhi Athletic Stadium,26.111,91.761,3,2,374,500
UB City Mall,12.971,77.595,17,0,107,200
Guwahati Railway Station,26.181,91.75,22,4,142,300
Guwahati Railway Station,26.181,91.75,17,1,144,300
Indira Gandhi Athletic Stadium,26.111,91.761,15,5,267,500
Gateway of India Parking,18.922,72.834,19,6,32,80
M Chinnaswamy Stadium,12.978,77.599,21,0,244,600
City Centre Mall,26.152,91.776,11,2,84,120
M Chinnaswamy Stadium,12.978,77.599,5,0,423,600
Guwahati Railway Station,26.181,91.75,15,5,158,300
Guwahati Railway Station,26.181,91.75,15,3,194,300
Guwahati Railway Station,26.181,91.75,2,2,147,300
Gateway of India Parking,18.922,72.834,5,3,40,80
Gateway of India Parking,18.922,72.834,0,4,55,80
UB City Mall,12.971,77.595,1,0,152,200
City Centre Mall,26.152,91.776,7,3,66,120
Indira Gandhi Athletic Stadium,26.111,91.761,21,2,301,500
Indira Gandhi Athletic Stadium,26.111,91.761,0,5,217,500
UB City Mall,12.971,77.595,20,0,145,200
Guwahati Railway Station,26.181,91.75,15,4,190,300
UB City Mall,12.971,77.595,7,5,26,200
M Chinnaswamy Stadium,12.978,77.599,13,1,322,600
Gateway of India Parking,18.922,72.834,8,3,61,80
Gateway of India Parking,18.922,72.834,20,0,37,80
M Chinnaswamy Stadium,12.978,77.599,12,4,440,600
Chhatrapati Shivaji Terminus,18.94,72.835,6,4,117,150
UB City Mall,12.971,77.595,21,1,104,200
M Chinnaswamy Stadium,12.978,77.599,17,6,269,600
Connaught Place,28.631,77.219,18,1,149,200
Phoenix Marketcity,19.088,72.882,1,2,210,400
Gateway of India Parking,18.922,72.834,23,4,49,80
M Chinnaswamy Stadium,12.978,77.599,13,4,259,600
M Chinnaswamy Stadium,12.978,77.599,0,0,341,600
Indira Gandhi Athletic Stadium,26.111,91.761,1,6,230,500
M Chinnaswamy Stadium,12.978,77.599,17,3,271,600
Connaught Place,28.631,77.219,13,3,115,200
Gateway of India Parking,18.922,72.834,22,2,55,80
Guwahati Railway Station,26.181,91.75,18,5,200,300
UB City Mall,12.971,77.595,14,4,85,200
Chhatrapati Shivaji Terminus,18.94,72.835,9,3,113,150
Phoenix Marketcity,19.088,72.882,19,2,296,400
Chhatrapati Shivaji Terminus,18.94,72.835,23,3,94,150
Chhatrapati Shivaji Terminus,18.94,72.835,10,2,97,150
Connaught Place,28.631,77.219,17,5,121,200
UB City Mall,12.971,77.595,7,0,129,200
Indira Gandhi Athletic Stadium,26.111,91.761,11,3,203,500
Connaught Place,28.631,77.219,17,0,158,200
Gateway of India Parking,18.922,72.834,12,5,62,80
M Chinnaswamy Stadium,12.978,77.599,19,2,265,600
India Gate Parking,28.612,77.229,1,5,58,100
City Centre Mall,26.152,91.776,5,6,14,120
Guwahati Railway Station,26.181,91.75,13,2,136,300
Guwahati Railway Station,26.181,91.75,22,2,147,300
Select CITYWALK,28.528,77.218,5,2,263,350
City Centre Mall,26.152,91.776,9,5,20,120
Select CITYWALK,28.528,77.218,2,2,266,350
Chhatrapati Shivaji Terminus,18.94,72.835,7,0,104,150
M Chinnaswamy Stadium,12.978,77.599,15,2,403,600
India Gate Parking,28.612,77.229,18,1,49,100
M Chinnaswamy Stadium,12.978,77.599,18,1,409,600
Gateway of India Parking,18.922,72.834,16,2,61,80
Chhatrapati Shivaji Terminus,18.94,72.835,20,5,105,150
Select CITYWALK,28.528,77.218,19,4,267,350
City Centre Mall,26.152,91.776,1,2,92,120
Guwahati Railway Station,26.181,91.75,8,0,153,300
Connaught Place,28.631,77.219,22,3,138,200
India Gate Parking,28.612,77.229,9,1,52,100
India Gate Parking,28.612,77.229,5,2,71,100
India Gate Parking,28.612,77.229,7,1,45,100
City Centre Mall,26.152,91.776,11,2,72,120
City Centre Mall,26.152,91.776,5,6,8,120
Indira Gandhi Athletic Stadium,26.111,91.761,22,4,346,500
UB City Mall,12.971,77.595,4,1,117,200
Select CITYWALK,28.528,77.218,11,4,188,350
M Chinnaswamy Stadium,12.978,77.599,17,0,437,600
M Chinnaswamy Stadium,12.978,77.599,3,6,448,600
City Centre Mall,26.152,91.776,23,1,95,120
City Centre Mall,26.152,91.776,4,4,86,120
Chhatrapati Shivaji Terminus,18.94,72.835,2,5,65,150
Guwahati Railway Station,26.181,91.75,3,2,210,300
India Gate Parking,28.612,77.229,6,1,41,100
UB City Mall,12.971,77.595,0,1,92,200
Indira Gandhi Athletic Stadium,26.111,91.761,14,2,294,500
Phoenix Marketcity,19.088,72.882,15,5,288,400
Guwahati Railway Station,26.181,91.75,15,2,134,300
Select CITYWALK,28.528,77.218,7,6,185,350
M Chinnaswamy Stadium,12.978,77.599,9,2,456,600
Indira Gandhi Athletic Stadium,26.111,91.761,7,2,205,500
Indira Gandhi Athletic Stadium,26.111,91.761,22,4,222,500
Guwahati Railway Station,26.181,91.75,9,1,157,300
India Gate Parking,28.612,77.229,15,5,59,100
UB City Mall,12.971,77.595,21,3,106,200
Phoenix Marketcity,19.088,72.882,17,2,300,400
Phoenix Marketcity,19.088,72.882,14,1,301,400
M Chinnaswamy Stadium,12.978,77.599,12,0,323,600
Chhatrapati Shivaji Terminus,18.94,72.835,16,2,69,150
UB City Mall,12.971,77.595,4,6,20,200
Indira Gandhi Athletic Stadium,26.111,91.761,4,1,276,500
India Gate Parking,28.612,77.229,3,5,70,100
Select CITYWALK,28.528,77.218,5,1,183,350
M Chinnaswamy Stadium,12.978,77.599,17,0,272,600
Phoenix Marketcity,19.088,72.882,18,4,179,400
M Chinnaswamy Stadium,12.978,77.599,10,5,408,600
Chhatrapati Shivaji Terminus,18.94,72.835,13,2,113,150
UB City Mall,12.971,77.595,1,6,19,200
India Gate Parking,28.612,77.229,3,1,66,100
Indira Gandhi Athletic Stadium,26.111,91.761,18,2,359,500
UB City Mall,12.971,77.595,14,0,118,200
M Chinnaswamy Stadium,12.978,77.599,13,6,406,600
Guwahati Railway Station,26.181,91.75,13,4,136,300
Connaught Place,28.631,77.219,20,5,111,200
Select CITYWALK,28.528,77.218,17,6,240,350
India Gate Parking,28.612,77.229,19,3,65,100
Gateway of India Parking,18.922,72.834,8,4,35,80
Select CITYWALK,28.528,77.218,18,3,221,350
M Chinnaswamy Stadium,12.978,77.599,19,6,479,600
City Centre Mall,26.152,91.776,9,1,71,120
Chhatrapati Shivaji Terminus,18.94,72.835,2,2,84,150
Guwahati Railway Station,26.181,91.75,2,6,234,300
UB City Mall,12.971,77.595,19,5,13,200
Select CITYWALK,28.528,77.218,3,5,238,350
Phoenix Marketcity,19.088,72.882,22,3,271,400
Guwahati Railway Station,26.181,91.75,10,5,144,300
India Gate Parking,28.612,77.229,9,6,40,100
M Chinnaswamy Stadium,12.978,77.599,9,6,269,600
UB City Mall,12.971,77.595,14,6,34,200
Phoenix Marketcity,19.088,72.882,9,4,281,400
City Centre Mall,26.152,91.776,12,4,62,120
M Chinnaswamy Stadium,12.978,77.599,18,3,407,600
M Chinnaswamy Stadium,12.978,77.599,21,1,359,600
Phoenix Marketcity,19.088,72.882,6,6,303,400
M Chinnaswamy Stadium,12.978,77.599,15,1,467,600
Guwahati Railway Station,26.181,91.75,15,4,233,300
Guwahati Railway Station,26.181,91.75,12,5,207,300
M Chinnaswamy Stadium,12.978,77.599,23,2,304,600
Connaught Place,28.631,77.219,19,0,106,200
M Chinnaswamy Stadium,12.978,77.599,10,3,331,600
Connaught Place,28.631,77.219,0,1,104,200
Chhatrapati Shivaji Terminus,18.94,72.835,12,2,87,150
India Gate Parking,28.612,77.229,20,1,78,100
Chhatrapati Shivaji Terminus,18.94,72.835,22,0,98,150
M Chinnaswamy Stadium,12.978,77.599,7,2,476,600
Guwahati Railway Station,26.181,91.75,10,1,165,300
Phoenix Marketcity,19.088,72.882,14,5,179,400
Guwahati Railway Station,26.181,91.75,5,6,152,300
UB City Mall,12.971,77.595,2,6,31,200
Indira Gandhi Athletic Stadium,26.111,91.761,10,1,318,500
Gateway of India Parking,18.922,72.834,6,2,61,80
UB City Mall,12.971,77.595,7,5,30,200
UB City Mall,12.971,77.595,6,6,20,200
Phoenix Marketcity,19.088,72.882,21,6,280,400
India Gate Parking,28.612,77.229,0,3,61,100
Indira Gandhi Athletic Stadium,26.111,91.761,8,2,304,500
Indira Gandhi Athletic Stadium,26.111,91.761,8,6,344,500
Chhatrapati Shivaji Terminus,18.94,72.835,9,1,91,150
India Gate Parking,28.612,77.229,4,2,77,100
Indira Gandhi Athletic Stadium,26.111,91.761,11,1,344,500
City Centre Mall,26.152,91.776,8,1,62,120
Select CITYWALK,28.528,77.218,9,6,272,350
Indira Gandhi Athletic Stadium,26.111,91.761,5,1,240,500
City Centre Mall,26.152,91.776,18,6,10,120
Chhatrapati Shivaji Terminus,18.94,72.835,5,4,69,150
Connaught Place,28.631,77.219,6,3,140,200
Connaught Place,28.631,77.219,2,4,137,200
Guwahati Railway Station,26.181,91.75,2,3,174,300
Indira Gandhi Athletic Stadium,26.111,91.761,0,0,338,500
M Chinnaswamy Stadium,12.978,77.599,0,1,245,600
Guwahati Railway Station,26.181,91.75,20,3,154,300
UB City Mall,12.971,77.595,10,6,27,200
Guwahati Railway Station,26.181,91.75,20,6,155,300
UB City Mall,12.971,77.595,18,5,39,200
Chhatrapati Shivaji Terminus,18.94,72.835,2,3,82,150
City Centre Mall,26.152,91.776,1,4,86,120
India Gate Parking,28.612,77.229,6,0,64,100
UB City Mall,12.971,77.595,10,1,81,200
Connaught Place,28.631,77.219,4,1,138,200
City Centre Mall,26.152,91.776,13,6,14,120
UB City Mall,12.971,77.595,1,2,82,200
Indira Gandhi Athletic Stadium,26.111,91.761,0,3,241,500
Select CITYWALK,28.528,77.218,12,2,180,350
Phoenix Marketcity,19.088,72.882,8,1,240,400
Indira Gandhi Athletic Stadium,26.111,91.761,8,5,289,500
Chhatrapati Shivaji Terminus,18.94,72.835,19,4,73,150
India Gate Parking,28.612,77.229,12,1,75,100
Connaught Place,28.631,77.219,23,2,120,200
UB City Mall,12.971,77.595,2,5,13,200
Phoenix Marketcity,19.088,72.882,23,4,208,400
Guwahati Railway Station,26.181,91.75,18,4,143,300
Chhatrapati Shivaji Terminus,18.94,72.835,18,2,98,150
UB City Mall,12.971,77.595,0,1,138,200
UB City Mall,12.971,77.595,3,5,28,200
City Centre Mall,26.152,91.776,3,2,52,120
Guwahati Railway Station,26.181,91.75,12,4,204,300
Phoenix Marketcity,19.088,72.882,1,6,282,400
Phoenix Marketcity,19.088,72.882,19,3,220,400
UB City Mall,12.971,77.595,17,1,83,200
Indira Gandhi Athletic Stadium,26.111,91.761,9,4,232,500
Gateway of India Parking,18.922,72.834,11,6,37,80
Gateway of India Parking,18.922,72.834,16,2,58,80
Select CITYWALK,28.528,77.218,5,6,274,350
Chhatrapati Shivaji Terminus,18.94,72.835,13,3,97,150
Phoenix Marketcity,19.088,72.882,9,2,283,400
Gateway of India Parking,18.922,72.834,8,3,36,80
Indira Gandhi Athletic Stadium,26.111,91.761,5,3,232,500
M Chinnaswamy Stadium,12.978,77.599,0,3,358,600
Select CITYWALK,28.528,77.218,5,4,244,350
Guwahati Railway Station,26.181,91.75,14,1,191,300
M Chinnaswamy Stadium,12.978,77.599,20,1,379,600
Connaught Place,28.631,77.219,4,6,131,200
Connaught Place,28.631,77.219,13,2,159,200
UB City Mall,12.971,77.595,17,2,132,200
Guwahati Railway Station,26.181,91.75,8,5,228,300
M Chinnaswamy Stadium,12.978,77.599,14,4,308,600
UB City Mall,12.971,77.595,20,0,131,200
M Chinnaswamy Stadium,12.978,77.599,8,4,244,600
Phoenix Marketcity,19.088,72.882,17,5,266,400
Chhatrapati Shivaji Terminus,18.94,72.835,1,4,119,150
Guwahati Railway Station,26.181,91.75,16,1,182,300
Select CITYWALK,28.528,77.218,18,5,218,350
Gateway of India Parking,18.922,72.834,20,3,42,80
M Chinnaswamy Stadium,12.978,77.599,14,4,448,600
Indira Gandhi Athletic Stadium,26.111,91.761,6,5,218,500
M Chinnaswamy Stadium,12.978,77.599,15,4,432,600
City Centre Mall,26.152,91.776,10,2,80,120
India Gate Parking,28.612,77.229,17,0,45,100
Guwahati Railway Station,26.181,91.75,13,2,238,300
M Chinnaswamy Stadium,12.978,77.599,11,3,400,600
City Centre Mall,26.152,91.776,23,1,88,120
UB City Mall,12.971,77.595,9,3,148,200
M Chinnaswamy Stadium,12.978,77.599,2,5,475,600
City Centre Mall,26.152,91.776,13,4,92,120
Select CITYWALK,28.528,77.218,9,0,278,350
Phoenix Marketcity,19.088,72.882,17,3,173,400
Guwahati Railway Station,26.181,91.75,1,2,218,300
Connaught Place,28.631,77.219,11,5,95,200
Indira Gandhi Athletic Stadium,26.111,91.761,4,4,238,500
India Gate Parking,28.612,77.229,5,4,69,100
Gateway of India Parking,18.922,72.834,23,1,61,80
Gateway of India Parking,18.922,72.834,17,1,47,80
Gateway of India Parking,18.922,72.834,18,0,56,80
M Chinnaswamy Stadium,12.978,77.599,7,6,421,600
Guwahati Railway Station,26.181,91.75,14,6,120,300
Chhatrapati Shivaji Terminus,18.94,72.835,9,1,91,150
Guwahati Railway Station,26.181,91.75,0,2,218,300
M Chinnaswamy Stadium,12.978,77.599,3,1,470,600
Gateway of India Parking,18.922,72.834,11,1,37,80
M Chinnaswamy Stadium,12.978,77.599,7,0,255,600
City Centre Mall,26.152,91.776,4,5,13,120
City Centre Mall,26.152,91.776,20,4,86,120
Connaught Place,28.631,77.219,3,2,103,200
Chhatrapati Shivaji Terminus,18.94,72.835,19,3,118,150
Guwahati Railway Station,26.181,91.75,3,2,205,300
City Centre Mall,26.152,91.776,9,0,74,120
M Chinnaswamy Stadium,12.978,77.599,22,3,464,600
Connaught Place,28.631,77.219,19,0,158,200
UB City Mall,12.971,77.595,14,2,105,200
Indira Gandhi Athletic Stadium,26.111,91.761,7,6,354,500
M Chinnaswamy Stadium,12.978,77.599,5,6,281,600
Gateway of India Parking,18.922,72.834,1,1,63,80
Indira Gandhi Athletic Stadium,26.111,91.761,17,3,384,500
Connaught Place,28.631,77.219,16,6,85,200
Connaught Place,28.631,77.219,22,3,157,200
UB City Mall,12.971,77.595,12,3,117,200
Phoenix Marketcity,19.088,72.882,6,6,185,400
Gateway of India Parking,18.922,72.834,4,0,58,80
Indira Gandhi Athletic Stadium,26.111,91.761,16,4,316,500
Gateway of India Parking,18.922,72.834,8,2,35,80
Guwahati Railway Station,26.181,91.75,23,4,177,300
Phoenix Marketcity,19.088,72.882,23,6,238,400
UB City Mall,12.971,77.595,22,2,110,200
Indira Gandhi Athletic Stadium,26.111,91.761,7,6,311,500
Connaught Place,28.631,77.219,23,4,155,200
Connaught Place,28.631,77.219,1,4,138,200
India Gate Parking,28.612,77.229,5,6,67,100
UB City Mall,12.971,77.595,17,4,87,200
UB City Mall,12.971,77.595,0,6,20,200
UB City Mall,12.971,77.595,14,3,94,200
Gateway of India Parking,18.922,72.834,15,1,43,80
Indira Gandhi Athletic Stadium,26.111,91.761,3,3,230,500
Guwahati Railway Station,26.181,91.75,23,2,157,300
Select CITYWALK,28.528,77.218,20,1,277,350
Chhatrapati Shivaji Terminus,18.94,72.835,13,0,61,150
Connaught Place,28.631,77.219,14,0,141,200
Select CITYWALK,28.528,77.218,13,5,147,350
M Chinnaswamy Stadium,12.978,77.599,18,0,441,600
Chhatrapati Shivaji Terminus,18.94,72.835,7,4,104,150
India Gate Parking,28.612,77.229,17,5,64,100
Indira Gandhi Athletic Stadium,26.111,91.761,21,1,288,500
India Gate Parking,28.612,77.229,18,6,60,100
M Chinnaswamy Stadium,12.978,77.599,14,4,386,600
Connaught Place,28.631,77.219,13,1,137,200
Gateway of India Parking,18.922,72.834,3,4,56,80
India Gate Parking,28.612,77.229,9,4,75,100
UB City Mall,12.971,77.595,22,0,118,200
Gateway of India Parking,18.922,72.834,10,3,51,80
Gateway of India Parking,18.922,72.834,18,4,41,80
Connaught Place,28.631,77.219,19,1,146,200
UB City Mall,12.971,77.595,6,3,123,200
City Centre Mall,26.152,91.776,5,3,73,120
India Gate Parking,28.612,77.229,4,5,61,100
Select CITYWALK,28.528,77.218,13,5,259,350
UB City Mall,12.971,77.595,6,0,97,200
India Gate Parking,28.612,77.229,23,1,56,100
Connaught Place,28.631,77.219,11,4,107,200
Phoenix Marketcity,19.088,72.882,1,3,168,400
Connaught Place,28.631,77.219,4,0,97,200
India Gate Parking,28.612,77.229,19,0,72,100
City Centre Mall,26.152,91.776,3,5,11,120
Select CITYWALK,28.528,77.218,0,6,279,350
Gateway of India Parking,18.922,72.834,20,2,59,80
Gateway of India Parking,18.922,72.834,8,3,49,80
Guwahati Railway Station,26.181,91.75,7,4,161,300
Gateway of India Parking,18.922,72.834,18,6,42,80
Phoenix Marketcity,19.088,72.882,17,3,311,400
Chhatrapati Shivaji Terminus,18.94,72.835,9,6,101,150
Select CITYWALK,28.528,77.218,9,6,252,350
Phoenix Marketcity,19.088,72.882,12,4,165,400
Chhatrapati Shivaji Terminus,18.94,72.835,21,4,118,150
Phoenix Marketcity,19.088,72.882,12,3,304,400
M Chinnaswamy Stadium,12.978,77.599,2,4,320,600
UB City Mall,12.971,77.595,5,3,109,200
India Gate Parking,28.612,77.229,5,2,71,100
UB City Mall,12.971,77.595,14,4,158,200
Indira Gandhi Athletic Stadium,26.111,91.761,1,1,368,500
India Gate Parking,28.612,77.229,18,0,67,100
Connaught Place,28.631,77.219,10,6,104,200
India Gate Parking,28.612,77.229,3,0,75,100
Gateway of India Parking,18.922,72.834,2,0,41,80
Gateway of India Parking,18.922,72.834,2,2,58,80
Guwahati Railway Station,26.181,91.75,17,5,224,300
Chhatrapati Shivaji Terminus,18.94,72.835,12,1,64,150
Guwahati Railway Station,26.181,91.75,11,0,172,300
Phoenix Marketcity,19.088,72.882,17,4,267,400
Chhatrapati Shivaji Terminus,18.94,72.835,7,5,115,150
India Gate Parking,28.612,77.229,22,5,72,100
UB City Mall,12.971,77.595,19,1,120,200
Connaught Place,28.631,77.219,11,2,114,200
City Centre Mall,26.152,91.776,16,6,8,120
UB City Mall,12.971,77.595,23,1,129,200
City Centre Mall,26.152,91.776,13,0,65,120
India Gate Parking,28.612,77.229,12,4,47,100
Phoenix Marketcity,19.088,72.882,11,2,284,400
Phoenix Marketcity,19.088,72.882,13,3,240,400
Connaught Place,28.631,77.219,21,3,138,200
Guwahati Railway Station,26.181,91.75,19,3,139,300
Phoenix Marketcity,19.088,72.882,19,6,272,400
M Chinnaswamy Stadium,12.978,77.599,14,3,302,600
Phoenix Marketcity,19.088,72.882,3,3,230,400
India Gate Parking,28.612,77.229,17,2,45,100
M Chinnaswamy Stadium,12.978,77.599,2,0,286,600
Guwahati Railway Station,26.181,91.75,12,0,157,300
City Centre Mall,26.152,91.776,14,6,20,120
M Chinnaswamy Stadium,12.978,77.599,18,0,268,600
Gateway of India Parking,18.922,72.834,23,2,56,80
UB City Mall,12.971,77.595,11,2,106,200
Guwahati Railway Station,26.181,91.75,10,5,236,300
M Chinnaswamy Stadium,12.978,77.599,2,4,282,600
Select CITYWALK,28.528,77.218,1,3,149,350
Select CITYWALK,28.528,77.218,13,6,277,350
Guwahati Railway Station,26.181,91.75,19,6,239,300
Phoenix Marketcity,19.088,72.882,11,1,278,400
Connaught Place,28.631,77.219,3,0,113,200
Chhatrapati Shivaji Terminus,18.94,72.835,21,1,106,150
Chhatrapati Shivaji Terminus,18.94,72.835,8,3,110,150
Phoenix Marketcity,19.088,72.882,12,5,239,400
Chhatrapati Shivaji Terminus,18.94,72.835,15,1,79,150
Guwahati Railway Station,26.181,91.75,18,5,138,300
Chhatrapati Shivaji Terminus,18.94,72.835,16,3,109,150
Indira Gandhi Athletic Stadium,26.111,91.761,13,1,268,500
Phoenix Marketcity,19.088,72.882,7,5,174,400
Gateway of India Parking,18.922,72.834,13,1,59,80
M Chinnaswamy Stadium,12.978,77.599,20,3,362,600
UB City Mall,12.971,77.595,3,3,99,200
Select CITYWALK,28.528,77.218,13,5,239,350
India Gate Parking,28.612,77.229,8,6,69,100
Gateway of India Parking,18.922,72.834,13,2,50,80
Indira Gandhi Athletic Stadium,26.111,91.761,21,3,213,500
Indira Gandhi Athletic Stadium,26.111,91.761,12,5,215,500
UB City Mall,12.971,77.595,11,6,31,200
Indira Gandhi Athletic Stadium,26.111,91.761,7,1,222,500
UB City Mall,12.971,77.595,3,3,130,200
M Chinnaswamy Stadium,12.978,77.599,21,1,434,600
Chhatrapati Shivaji Terminus,18.94,72.835,8,5,71,150
Guwahati Railway Station,26.181,91.75,17,5,152,300
Phoenix Marketcity,19.088,72.882,20,2,181,400
Gateway of India Parking,18.922,72.834,18,1,60,80
M Chinnaswamy Stadium,12.978,77.599,5,3,286,600
Connaught Place,28.631,77.219,10,0,107,200
Indira Gandhi Athletic Stadium,26.111,91.761,13,4,268,500
M Chinnaswamy Stadium,12.978,77.599,7,5,290,600
Indira Gandhi Athletic Stadium,26.111,91.761,14,1,320,500
India Gate Parking,28.612,77.229,7,3,54,100
Indira Gandhi Athletic Stadium,26.111,91.761,14,6,318,500
Phoenix Marketcity,19.088,72.882,20,1,191,400
Guwahati Railway Station,26.181,91.75,11,3,205,300
Chhatrapati Shivaji Terminus,18.94,72.835,2,5,116,150
Chhatrapati Shivaji Terminus,18.94,72.835,23,5,115,150
Select CITYWALK,28.528,77.218,18,5,179,350
UB City Mall,12.971,77.595,11,4,114,200
M Chinnaswamy Stadium,12.978,77.599,3,0,353,600
Indira Gandhi Athletic Stadium,26.111,91.761,14,0,255,500
Indira Gandhi Athletic Stadium,26.111,91.761,21,1,209,500
Guwahati Railway Station,26.181,91.75,18,6,177,300
UB City Mall,12.971,77.595,0,2,150,200
UB City Mall,12.971,77.595,15,0,111,200
Select CITYWALK,28.528,77.218,13,1,248,350
India Gate Parking,28.612,77.229,8,5,66,100
Chhatrapati Shivaji Terminus,18.94,72.835,23,6,92,150
India Gate Parking,28.612,77.229,16,0,67,100
India Gate Parking,28.612,77.229,4,5,52,100
Phoenix Marketcity,19.088,72.882,23,2,183,400
City Centre Mall,26.152,91.776,6,4,70,120
Connaught Place,28.631,77.219,0,5,152,200
Guwahati Railway Station,26.181,91.75,16,4,181,300
Indira Gandhi Athletic Stadium,26.111,91.761,22,3,292,500
M Chinnaswamy Stadium,12.978,77.599,22,0,324,600
UB City Mall,12.971,77.595,22,5,10,200
Phoenix Marketcity,19.088,72.882,4,2,208,400
Chhatrapati Shivaji Terminus,18.94,72.835,19,1,113,150
Phoenix Marketcity,19.088,72.882,11,5,211,400
India Gate Parking,28.612,77.229,23,0,74,100
City Centre Mall,26.152,91.776,4,1,72,120
City Centre Mall,26.152,91.776,7,5,15,120
Select CITYWALK,28.528,77.218,16,4,251,350
Guwahati Railway Station,26.181,91.75,0,6,150,300
Guwahati Railway Station,26.181,91.75,16,0,159,300
Select CITYWALK,28.528,77.218,13,5,230,350
